[MENO]=>LATKA
[FLOOR]=18
[TYP]=5
[START]=280,204
[VEC]=1,Box of matches
[VEC]=2,Detector of metal
[VEC]=3,Golden coin
[VEC]=4,Empty bank
[VEC]=5,Barrel
[VEC]=6,Dynamite
[VEC]=7,Detonater
[VEC]=8,Empty bottle
[VEC]=9,Bottle of rum
[VEC]=10,Bag of sand
[VEC]=11,Plant P
[VEC]=12,Sleeping gas
[VEC]=13,Mirror
[VEC]=1,~SLO~Z†palky
[VEC]=2,~SLO~Detektor kovu
[VEC]=3,~SLO~Zlat† minca
[VEC]=4,~SLO~Pr†zdna banka
[VEC]=5,~SLO~Sud
[VEC]=6,~SLO~Dynamit
[VEC]=7,~SLO~Deton†tor
[VEC]=8,~SLO~Pr†zdna fåa®a
[VEC]=9,~SLO~Fåa®a rumu
[VEC]=10,~SLO~Vrece piesku
[VEC]=11,~SLO~Rastlinka R
[VEC]=12,~SLO~Usp†vac° plyn
[VEC]=13,~SLO~Zrkadlo
[TEXT]=10,<END>
[TEXT]=20,<CLS>;<GIVEPOCKET/3>;<PIC/63/50/50>;You found a coin.
[TEXT]=21,<SOUND/ZMINCA>;<SCORE/20>;<REINIT>;<END>
[TEXT]=30,<IFEVENT/1/1/60>;<CLS>;<SHOWSIR>;Hallo !;What are you doing in this cave ?;<NEWSCR>
[TEXT]=31,<PIC/56/50/50>;<PIC/76/50/66>;Perhaps you'll not trust it,;
[TEXT]=32,but I'm selling here a lot of usable things.;If you want a dynamite, say it to me.;
[TEXT]=33,If you want barrels, bags, or something other,;
[TEXT]=34,I'll sell it for a low price.
[TEXT]=35,<IFEVENT/1/0/39>;<SCORE/20>;<REINIT>;<END>
[TEXT]=38,<GIVEPOCKET/3>;<GOTO/40>;
[TEXT]=39,<NEWSCR>;
[TEXT]=40,<CLS>;<SHOWSIR>;And how much cost dynamite ?;<NEWSCR>;
[TEXT]=41,<PIC/56/50/50>;<PIC/76/50/66>;One golden coin.;<NEWSCR>
[TEXT]=42,<IFPOCKET/3/45>;<SHOWSIR>;What a pity, I've got none.;<REINIT>;<END>
[TEXT]=45,<SHOWSIR>;So, I buy it.;<NEWSCR>;<TAKEPOCKET/3/2>;
[TEXT]=46,<PIC/56/50/50>;<PIC/76/50/66>;Be careful.;
[TEXT]=47,<GIVEPOCKET/6>;<SETEVENT/1/1>;<SCORE/20>;<REINIT>;<END>
[TEXT]=50,<CLS>;<PIC/39/50/50>;You placed dinamite next to the wall.;
[TEXT]=51,<SETEVENT/2/1>;<UNHIDE/2/I>;<SCORE/20>;<REINIT>;<END>
[TEXT]=60,<IFEVENT/1/2/65>;<IFPOCKET/9/110>;<CLS>;<PIC/56/50/50>;<PIC/76/50/66>;
[TEXT]=61,I'm thirsty...;<SCORE/20>;<REINIT>;<END>
[TEXT]=65,<CLS>;<PIC/56/50/50>;<PIC/76/50/66>;Hi !;<REINIT>;<END>;
[TEXT]=70,<IFEVENT/2/1/75>;<DONTUSE>;<END>;
[TEXT]=75,<ANIMONLY/AEXPLO,ZEXPLO>;<CLS>;<PIC/38/50/50>;<HIDE/2/q>
[TEXT]=76,Explosion opened enter to the room.
[TEXT]=77,<LOADMAP/11>;<SETEVENT/2/2>;<SCORE/20>;<REINIT>;<END>;
[TEXT]=80,<CLS>;<PIC/57/50/50>;You burned up fire.;<UNHIDE/10/D>;<SIRXY/44/31>
[TEXT]=81,<SOUND/ZZAPAL>;<SETEVENT/3/1>;<SCORE/20>;<REINIT>;<END>
[TEXT]=90,<IFEVENT/3/1/95>;<DONTUSE>;<END>;
[TEXT]=95,<CLS>;<SOUND/ZRUM>;You filled bottle with destilated alcohol.;
[TEXT]=96,<PIC/58/50/50>;<GIVEPOCKET/9>;<REINIT>;<END>
[TEXT]=100,<CLS>;<SOUND/ZVLK>;<PIC/59/50/50>;Legend;<TEXTCOL/14>;
[TEXT]=101,If you are searchig for treasure, search there, where immrotals guarding;
[TEXT]=102,mortable Bill, who there lost his soul.;<SCORE/20>;<REINIT>;<END>
[TEXT]=110,<CLS>;<SHOWSIR>;I bring you bottle of rum.;<NEWSCR>;
[TEXT]=111,<PIC/56/50/50>;<PIC/76/50/66>;Oh !;Thanke you !;<SETEVENT/1/2>;
[TEXT]=112,What I'll give you for this present ?;<TEXTCOL/12>;(...something, what I don't need...);
[TEXT]=113,<TEXTCOL/15>;I know.;A bag of sand, it's good for you...;
[TEXT]=114,<TAKEPOCKET/9>;<GIVEPOCKET/10>;<SCORE/20>;<REINIT>;<END>;
[TEXT]=120,<CLS>;<PIC/43/50/50>;You blocked stream of water by bag.;<HIDE/2/v>
[TEXT]=121,<UNHIDE/4/G>;<SOUND/ZVODA>;<REINIT>;<END>;
[TEXT]=130,<IFEVENT/4/1/140>;<CLS>;<SHOWSIR>;Hello DIZZY !;<SETEVENT/4/1>
[TEXT]=131,What are you doing ?;<NEWSCR>
[TEXT]=132,<PIC/41/50/50>;<PIC/42/66/50>;
[TEXT]=133,<PIC/61/50/66>;<PIC/62/66/66>;
[TEXT]=134,Bad Zaxs made me prisoner; and I have no chance to get out of here.;<NEWSCR>;
[TEXT]=135,<SHOWSIR>;Do you know how can I defeat;<TEXTCOL/14>;
[TEXT]=136,DRAGON ?;<TEXTCOL/15>;<NEWSCR>;I know.;By sleeping gas,;
[TEXT]=137,<PIC/41/50/50>;<PIC/42/66/50>;I can make it,
[TEXT]=138,<PIC/61/50/66>;<PIC/62/66/66>;but I need one plant.;
[TEXT]=139,It is neer the dragon's den.;<SCORE/20>;<REINIT>;<END>
[TEXT]=140,<IFPOCKET/11/145>;<CLS>;<SHOWSIR>;Hello !;<NEWSCR>;
[TEXT]=141,<PIC/41/50/50>;<PIC/42/66/50>;
[TEXT]=142,<PIC/61/50/66>;<PIC/62/66/66>;Hi !;<REINIT>;<END>
[TEXT]=145,<CLS>;<SHOWSIR>;So and here is that plant.;<NEWSCR>;
[TEXT]=146,<PIC/41/50/50>;<PIC/42/66/50>;<TAKEPOCKET/11>;<GIVEPOCKET/12>;
[TEXT]=147,<PIC/61/50/66>;<PIC/62/66/66>;Good, so wait a minute.;<NEWSCR>;<PIC/78/320/50>
[TEXT]=148,After time....;<SOUND/ZCAS>;<NEWSCR>;Hotovo;<PIC/41/50/50>;<PIC/42/66/50>;
[TEXT]=149,<PIC/61/50/66>;<PIC/62/66/66>;<SCORE/20>;<REINIT>;<END>
[TEXT]=150,<CLS>;<SOUND/ZDRAK>;Dragon is sleeping.;
[TEXT]=151,<PIC/86/34/90>;<PIC/87/50/90>;<PIC/88/66/90>;<PIC/89/82/90>;
[TEXT]=152,<PIC/68/66/74>;<PIC/69/82/74>;<PIC/70/98/74>;<PIC/71/114/74>;
[TEXT]=153,<PIC/48/66/58>;<PIC/49/74/58>;<PIC/50/98/58>;<PIC/51/114/58>;
[TEXT]=154,<PIC/7/130/58>;<TEXTCOL/14>;And you have got GELODEN BALL.;
[TEXT]=155,<NEWSCR>;<ANIM/ALOPTA,ZLOPTA>;<THEEND>;<END>;
